# Game Name				Local Save Location								Backup save Location
#========================================================================================================================================================================================

#AC Origins				C:\Users\Public\Documents\uPlay\CODEX\Saves\AssassinsCreedOrigins		X:\game-stuff\game-collection\Assassin's Creed Series\Assassin's Creed - Origins\Saved Games
#AC Odyssey				C:\Users\user\AppData\Roaming\uplay_emu\Player\5059\storage_files		X:\game-stuff\game-collection\Assassin's Creed Series\Assassin's Creed - Odyssey\Saved Games	
#Alice					S:\Documents\My Games\American McGee's Alice					X:\game-stuff\game-collection\Alice Series\American McGee's Alice\Saved Games
#Ascent					C:\Users\user\AppData\Local\TheAscent						X:\game-stuff\game-collection\Ascent, The\saved games
Astroneer				C:\Users\user\AppData\Local\Astro						X:\game-stuff\game-collection\Astroneer\Saved Games
Autonauts				C:\Users\user\AppData\LocalLow\Denki Ltd\Autonauts				X:\game-stuff\game-collection\Autonauts\Saved Games
#Biomutant				C:\Users\user\AppData\Local\Biomutant						X:\game-stuff\game-collection\Biomutant\Saved Games
#Blasphemous				C:\Users\user\AppData\LocalLow\TheGameKitchen\Blasphemous			X:\game-stuff\game-collection\Blasphemous\Saved Games
#Bloodstained				C:\Users\user\AppData\Local\BloodstainedRotN					X:\game-stuff\game-collection\Bloodstained - Ritual of the Night\Saved Games
#Carrion					C:\Users\user\AppData\LocalLow\Phobia\Carrion					X:\game-stuff\game-collection\Carrion\Saved Games
Cloudpunk				C:\Users\user\AppData\LocalLow\ION LANDS\Cloudpunk			X:\game-stuff\game-collection\Cloudpunk\saved games
Code Vein				C:\Users\user\AppData\Local\CodeVein						X:\game-stuff\game-collection\Code Vein\Saved Games
#Cyberpunk 2077				C:\Users\user\Saved Games\CD Projekt Red\Cyberpunk 2077				X:\game-stuff\game-collection\Cyberpunk 2077\Saved Games
#Darkwood				C:\Users\user\AppData\LocalLow\Acid Wizard Studio\DARKWOOD\			X:\game-stuff\game-collection\Darkwood\Saved Games
#Dark Souls Remastered			S:\Documents\NBGI\DARK SOULS REMASTERED						X:\game-stuff\game-collection\Dark Souls Series\Dark Souls Remastered\Saved Games
#Dark Souls II				C:\Users\user\AppData\Roaming\DarkSoulsII					X:\game-stuff\game-collection\Dark Souls Series\Dark Souls II\Saved Games
Dark Souls III				C:\Users\user\AppData\Roaming\DarkSoulsIII					X:\game-stuff\game-collection\Dark Souls Series\Dark Souls III\Saved Games
#Deadly Premonition			S:\Games\Deadly Premonition\savedata						X:\game-stuff\game-collection\Deadly Premonition\Saved Games
#Death Stranding				C:\Users\user\AppData\Local\KojimaProductions\DeathStranding			X:\game-stuff\game-collection\Death Stranding\Saved Games
Destroy All Humans			C:\Users\user\AppData\Local\DH							X:\game-stuff\game-collection\Destroy All Humans\Saved Games
Disgaea					C:\Users\user\AppData\Roaming\Goldberg SteamEmu Saves\405900			X:\game-stuff\game-collection\Disgaea Series\Disgaea 1\Saved Games
Doom 2016				C:\Users\user\Saved Games\id Software\DOOM					X:\game-stuff\game-collection\Doom Series\Doom 2016\Saved Games
Dragon Quest Builders 2			S:\Documents\My Games\DRAGON QUEST BUILDERS II					X:\game-stuff\game-collection\Dragon Quest Series\Dragon Quest Builders 2\Saved Games
#Dragon Quest XI				S:\Documents\My Games\DRAGON QUEST XI						X:\game-stuff\game-collection\Dragon Quest Series\Dragon Quest XI\Saved Games
#Dragon's Dogma				C:\Users\user\AppData\Roaming\Goldberg SteamEmu Saves\367500			X:\game-stuff\game-collection\Dragon's Dogma\Saved Games
#Dungeon Siege				S:\Documents\Dungeon Siege LOA							X:\game-stuff\game-collection\Dungeon Siege Series\Dungeon Siege\Saved Games
#Dusk					S:\Games\DUSK\saves								X:\game-stuff\game-collection\Dusk\saved games
Duskers					S:\Documents\My Games\Duskers							X:\game-stuff\game-collection\Duskers\saved games
#Dying Light				C:\Users\Public\Documents\Steam\CODEX\239140					X:\game-stuff\game-collection\Dying Light\Saved Games
Earth Defense Force WB			C:\Users\user\AppData\Local\EDFWB						X:\game-stuff\game-collection\Earth Defense Force Series\Earth Defense Force - World Brothers\saved games
#Evil Within				C:\Users\user\Saved Games\TangoGameworks\The Evil Within			X:\game-stuff\game-collection\Evil Within Series\Evil Within, The\saved games
#Evil Within 2				C:\Users\user\Saved Games\TangoGameworks\The Evil Within 2			X:\game-stuff\game-collection\Evil Within Series\Evil Within 2, The\saved games
#Far Cry 5				C:\Users\Public\Documents\uPlay\CODEX\Saves\FarCry5				X:\game-stuff\game-collection\Far Cry Series\Far Cry 5\Saved Games
Factorio				C:\Users\user\AppData\Roaming\Factorio\saves					X:\game-stuff\game-collection\Factorio\saved games
Final Fantasy VII			S:\Games\final-fantasy-vii\save							X:\game-stuff\game-collection\Final Fantasy Series\Final Fantasy VII\Saved Games
#Grand Theft Auto III			S:\Documents\GTA3 User Files							X:\game-stuff\game-collection\Grand Theft Auto Series\Grand Theft Auto III\Saved Games
#Grand Theft Auto Vice City		S:\Documents\GTAVC User Files							X:\game-stuff\game-collection\Grand Theft Auto Series\Grand Theft Auto Vice City\Saved Games
#Grand Theft Auto San Andreas		S:\Documents\GTA San Andreas User Files						X:\game-stuff\game-collection\Grand Theft Auto Series\Grand Theft Auto San Andreas\Saved Games
#Grand Theft Auto IV			S:\Documents\Rockstar Games\GTA IV						X:\game-stuff\game-collection\Grand Theft Auto Series\Grand Theft Auto IV\Saved Games
#Grand Theft Auto V			C:\Users\user\AppData\Roaming\Goldberg SocialClub Emu Saves\GTA V		X:\game-stuff\game-collection\Grand Theft Auto Series\Grand Theft Auto V\Saved Games
#Graveyard Keeper			C:\Users\user\AppData\LocalLow\Lazy Bear Games\Graveyard Keeper			X:\game-stuff\game-collection\Graveyard Keeper\Saved Games
#Grim Dawn				S:\Documents\My Games\Grim Dawn							X:\game-stuff\game-collection\Grim Dawn\Saved Games
#Greedfall				S:\Documents\GreedFall								X:\game-stuff\game-collection\Greedfall\Saved Games
#Halo					C:\Users\user\AppData\Roaming\Goldberg SteamEmu Saves\976730			X:\game-stuff\game-collection\Halo Series\Master Cheif Collection\saved games
#Hellpoint				C:\Users\user\AppData\LocalLow\Cradle Games\Hellpoint				X:\game-stuff\game-collection\Hellpoint\Saved Games
#Horizon Zero Dawn			S:\Documents\Horizon Zero Dawn							X:\game-stuff\game-collection\Horizon Zero Dawn\Saved Games
#It Lurks Below				C:\Users\user\AppData\Local\Graybeard Games\It Lurks Below			X:\game-stuff\game-collection\It Lurks Below\Saved Games
#Kingdoms of Amalur Remaster		C:\Users\user\AppData\Roaming\Goldberg SteamEmu Saves\1041720			X:\game-stuff\game-collection\Kingdoms of Amalur Series\Kingdoms of Amalur - Re-Reckoning\Saved Games
#Manhunt					S:\Documents\Manhunt User Files							X:\game-stuff\game-collection\Manhunt Series\Manhunt\Saved Games
Manhunt 2				C:\Users\user\AppData\Local\Rockstar Games\Manhunt 2				X:\game-stuff\game-collection\Manhunt Series\Manhunt 2\Saved Games
#Monster Hunter World			S:\Games\Monster Hunter World - Iceborne\PARADOX\582010				X:\game-stuff\game-collection\Monster Hunter World\Saved Games
#Monster Sanctuary			S:\Documents\My Games\Monster Sanctuary						X:\game-stuff\game-collection\Monster Sanctuary\Saved Games
#Mortal Shell				S:\Documents\My Games\MortalShell						X:\game-stuff\game-collection\Mortal Shell\Saved Games
#My Time at Portia			C:\Users\user\AppData\LocalLow\Pathea Games\My Time at Portia			X:\game-stuff\game-collection\My Time at Portia\Saved Games
#Nier Automata				S:\Documents\My Games\NieR_Automata						X:\game-stuff\game-collection\NieR Series\NieR - Automata\Saved Games
#Ni no Kuni				C:\Users\user\AppData\Roaming\Goldberg SteamEmu Saves\798460			X:\game-stuff\game-collection\Ni no Kuni Series\Ni no Kuni\Saved Games
#Nioh					S:\Documents\KoeiTecmo\NIOH							X:\game-stuff\game-collection\Nioh\Saved Games
No Man's Sky				C:\Users\user\AppData\Roaming\HelloGames\NMS					X:\game-stuff\game-collection\No Man's Sky\Saved Games
#Outer Wilds				C:\Users\user\AppData\LocalLow\Mobius Digital\Outer Wilds			X:\game-stuff\game-collection\Outer Wilds\Saved Games
#Outer Worlds				C:\Users\user\Saved Games\The Outer Worlds					X:\game-stuff\game-collection\Outer Worlds, The\Saved Games
#Outward				S:\Games\Outward\SaveGames							X:\game-stuff\game-collection\Outward\Saved Games
#Persona 4 Golden			C:\Users\user\AppData\Roaming\Goldberg SteamEmu Saves\1113000			X:\game-stuff\game-collection\Persona Series\Persona 4\saved games
#Pokemon Uranium				C:\Users\user\Saved Games\Pokemon Uranium					X:\game-stuff\game-collection\Pokemon Series\Pokemon Uranium\Saved Games
#Postal Redux				C:\Users\user\AppData\Local\PostalREDUX						X:\game-stuff\game-collection\Postal Series\Postal Redux\Saved Games
